127.0.0.1 - - [31/Aug/2022:15:47:24 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [31/Aug/2022:16:53:35 +0900] "GET /test/ HTTP/1.1" 200 23583
0:0:0:0:0:0:0:1 - - [31/Aug/2022:16:53:35 +0900] "GET /test/resources/MaxiBiz/lib/prettyphoto/css/prettyphoto.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2022:16:53:35 +0900] "GET /test/resources/MaxiBiz/lib/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2022:16:53:35 +0900] "GET /test/resources/MaxiBiz/lib/hover/hoverex-all.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2022:16:53:35 +0900] "GET /test/resources/css/custom_user.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2022:16:53:35 +0900] "GET /test/resources/MaxiBiz/lib/jetmenu/jetmenu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2022:16:53:35 +0900] "GET /test/resources/MaxiBiz/lib/owl-carousel/owl-carousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2022:16:53:35 +0900] "GET /test/resources/MaxiBiz/lib/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2022:16:53:35 +0900] "GET /test/resources/MaxiBiz/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2022:16:53:35 +0900] "GET /test/resources/MaxiBiz/css/colors/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2022:16:53:35 +0900] "GET /test/resources/MaxiBiz/lib/php-mail-form/validate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2022:16:53:35 +0900] "GET /test/resources/MaxiBiz/lib/prettyphoto/js/prettyphoto.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2022:16:53:35 +0900] "GET /test/resources/MaxiBiz/lib/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2022:16:53:35 +0900] "GET /test/resources/MaxiBiz/lib/hover/hoverdir.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2022:16:53:35 +0900] "GET /test/resources/MaxiBiz/lib/jetmenu/jetmenu.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2022:16:53:35 +0900] "GET /test/resources/MaxiBiz/lib/isotope/isotope.min.js HTTP/1.1" 304 -
