127.0.0.1 - - [06/Sep/2022:18:07:23 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [06/Sep/2022:18:07:23 +0900] "GET /test/ HTTP/1.1" 200 24551
0:0:0:0:0:0:0:1 - - [06/Sep/2022:18:07:23 +0900] "GET /test/resources/css/custom_user.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2022:18:07:23 +0900] "GET /test/resources/upload/1794220617_XSpkAiBo_pexels-eberhard-grossgasteiger-1287142.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2022:18:07:23 +0900] "GET /test/resources/img/cstm_logout_white.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2022:18:07:23 +0900] "GET /test/resources/upload/demo_01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2022:18:07:23 +0900] "GET /test/resources/upload/free-icon-joy-7021182.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2022:18:07:38 +0900] "GET /test/resources/MaxiBiz/lib/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 15208
0:0:0:0:0:0:0:1 - - [06/Sep/2022:18:07:46 +0900] "GET /test/user/main?cafeId=cafeId2 HTTP/1.1" 200 23085
0:0:0:0:0:0:0:1 - - [06/Sep/2022:18:07:46 +0900] "GET /test/resources/img/cafe_thumb_noimg_55.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2022:18:07:46 +0900] "GET /test/resources/MaxiBiz/css/colors/blue.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2022:18:07:46 +0900] "GET /test/resources/img/sp_icon_white_72ca546e.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2022:18:07:48 +0900] "GET /test HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2022:18:07:48 +0900] "GET /test/ HTTP/1.1" 200 24551
0:0:0:0:0:0:0:1 - - [06/Sep/2022:18:07:49 +0900] "GET /test/user/main?cafeId=cafeId3 HTTP/1.1" 200 23464
0:0:0:0:0:0:0:1 - - [06/Sep/2022:18:07:52 +0900] "GET /test HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2022:18:07:52 +0900] "GET /test/ HTTP/1.1" 200 24551
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:27:11 +0900] "GET /test/resources/MaxiBiz/lib/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 15208
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:27:39 +0900] "GET /test/resources/MaxiBiz/lib/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 15208
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:30:17 +0900] "GET /test/resources/MaxiBiz/lib/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 15208
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:35:17 +0900] "GET /test/resources/MaxiBiz/lib/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 15208
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:37:12 +0900] "GET /test/ HTTP/1.1" 200 24551
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:37:22 +0900] "GET /test/resources/MaxiBiz/lib/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 15208
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:38:16 +0900] "GET /test/ HTTP/1.1" 200 24622
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:38:20 +0900] "GET /test/resources/MaxiBiz/lib/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 15208
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:38:25 +0900] "GET /test HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:38:25 +0900] "GET /test/ HTTP/1.1" 200 24622
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:38:26 +0900] "GET /test HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:38:26 +0900] "GET /test/ HTTP/1.1" 200 24622
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:38:26 +0900] "GET /test/user/main?cafeId=cafeId1 HTTP/1.1" 200 26127
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:38:28 +0900] "GET /test/category/iboard?layout=card HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:38:28 +0900] "GET /test/ HTTP/1.1" 200 24622
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:38:30 +0900] "GET /test/user/main?cafeId=cafeId3 HTTP/1.1" 200 23464
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:38:34 +0900] "GET /test HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:38:34 +0900] "GET /test/ HTTP/1.1" 200 24622
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:43:30 +0900] "GET /test/user/main?cafeId=cafeId1 HTTP/1.1" 200 26127
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:43:34 +0900] "GET /test HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:43:34 +0900] "GET /test/ HTTP/1.1" 200 24622
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:44:37 +0900] "POST /test/user/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:44:37 +0900] "GET /test/ HTTP/1.1" 200 24151
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:44:37 +0900] "GET /test/resources/img/login_user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:44:37 +0900] "GET /test/resources/img/cstm_logout.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:44:39 +0900] "GET /test/user/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:44:39 +0900] "GET /test/ HTTP/1.1" 200 24622
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:44:40 +0900] "POST /test/user/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:44:40 +0900] "GET /test/ HTTP/1.1" 200 24151
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:44:41 +0900] "GET /test/user/main?cafeId=cafeId2 HTTP/1.1" 200 23497
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:44:42 +0900] "GET /test/resources/img/grade_manager.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:44:42 +0900] "GET /test/resources/img/profileImage.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:44:42 +0900] "GET /test/resources/img/sp_icon_06952b76.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:44:48 +0900] "GET /test HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:44:49 +0900] "GET /test/ HTTP/1.1" 200 24151
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:44:53 +0900] "GET /test/admin HTTP/1.1" 200 44001
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:44:53 +0900] "GET /img/undraw_profile_1.svg HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:44:53 +0900] "GET /img/undraw_profile_2.svg HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:44:53 +0900] "GET /img/undraw_profile_3.svg HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:44:53 +0900] "GET /test/img/undraw_rocket.svg HTTP/1.1" 404 15208
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:44:53 +0900] "GET /test/resources/startbootstrap-sb-admin-2-gh-pages/css/sb-admin-2.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:44:53 +0900] "GET /test/resources/startbootstrap-sb-admin-2-gh-pages/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:44:53 +0900] "GET /test/resources/startbootstrap-sb-admin-2-gh-pages/js/sb-admin-2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:44:53 +0900] "GET /test/resources/startbootstrap-sb-admin-2-gh-pages/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:44:53 +0900] "GET /test/resources/startbootstrap-sb-admin-2-gh-pages/js/demo/chart-pie-demo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:44:53 +0900] "GET /test/resources/startbootstrap-sb-admin-2-gh-pages/js/demo/chart-area-demo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:44:53 +0900] "GET /img/undraw_profile.svg HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:44:53 +0900] "GET /test/img/undraw_posting_photo.svg HTTP/1.1" 404 15208
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:44:54 +0900] "GET /test/resources/startbootstrap-sb-admin-2-gh-pages/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:44:54 +0900] "GET /test/resources/startbootstrap-sb-admin-2-gh-pages/vendor/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:44:54 +0900] "GET /test/resources/startbootstrap-sb-admin-2-gh-pages/vendor/chart.js/Chart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:44:54 +0900] "GET /test/resources/startbootstrap-sb-admin-2-gh-pages/vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:44:54 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:45:00 +0900] "GET /test/admin HTTP/1.1" 200 44001
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:45:00 +0900] "GET /img/undraw_profile_3.svg HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:45:00 +0900] "GET /img/undraw_profile_2.svg HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:45:00 +0900] "GET /img/undraw_profile_1.svg HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:45:00 +0900] "GET /img/undraw_profile.svg HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:45:00 +0900] "GET /test/img/undraw_rocket.svg HTTP/1.1" 404 15208
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:45:00 +0900] "GET /test/img/undraw_posting_photo.svg HTTP/1.1" 404 15208
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:46:27 +0900] "GET /test/admin HTTP/1.1" 200 44084
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:46:27 +0900] "GET /img/undraw_profile_1.svg HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [06/Sep/2022:19:46:27 +0900] "GET /img/undraw_profile_2.svg HTTP/1.1" 404 835
